method,pair_id,runtime_sec_pair,runtime_note
MetaSpace,TPC-DI__View-Unionable__prospect_both_0_30_ac1_ev,38.95735908564457,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
MetaSpace,TPC-DI__View-Unionable__prospect_both_0_30_ac1_av,39.169057014749,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
MetaSpace,TPC-DI__Semantically-Joinable__prospect_both_50_30_ac4_av,39.35365881490362,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
MetaSpace,TPC-DI__Semantically-Joinable__prospect_both_50_30_ac5_av,39.89801726169278,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
MetaSpace,TPC-DI__Semantically-Joinable__prospect_both_50_30_ec_av,39.32879150665059,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
MetaSpace,ChEMBL__Joinable__assays_vertical_30_ac3_ev,50.43437251799396,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
MetaSpace,ChEMBL__Joinable__assays_both_50_30_ac1_ev,57.465898993442295,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
MetaSpace,ChEMBL__Semantically-Joinable__assays_vertical_30_ac4_av,57.465898993442295,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
MetaSpace,ChEMBL__Semantically-Joinable__assays_vertical_30_ac1_av,57.465898993442295,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
MetaSpace,ChEMBL__Semantically-Joinable__assays_vertical_30_ac2_av,57.465898993442295,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
MetaSpace,ChEMBL__Semantically-Joinable__assays_vertical_30_ac3_av,50.18668782491565,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
