method,method_raw,pair_id,pair_id_raw,f1_all_to_all,precision_all_to_all,recall_all_to_all,runtime,scenario,source,dataset_group,relation_group
Cupid,Cupid,TPC-DI__View-Unionable__prospect_both_0_70_ac1_av,prospect_both_0_70_ac1_av_source.csv,1.0,1.0,1.0,30.987488508224487,,/Users/nahawandkired/Desktop/si_si-results.csv,TPC-DI,View-Unionable
MagnetoFTGPT,MagnetoFTGPT,TPC-DI__Unionable__prospect_horizontal_50_ac1_av,prospect_horizontal_50_ac1_av_source.csv,1.0,1.0,1.0,17.697789192199707,,/Users/nahawandkired/Desktop/si_si-magneto.csv,TPC-DI,Unionable
MagnetoFTGPT,MagnetoFTGPT,TPC-DI__Unionable__prospect_horizontal_50_ac1_ev,prospect_horizontal_50_ac1_ev_source.csv,1.0,1.0,1.0,19.01393747329712,,/Users/nahawandkired/Desktop/si_si-magneto.csv,TPC-DI,Unionable
Distribution Based,,ChEMBL__Joinable__assays_vertical_1_ac1_ev,,1.0,1.0,1.0,,,/Users/nahawandkired/Documents/metamatch/outputs/final_all_baselines_scan/all_baseline_results_long.csv,ChEMBL,Joinable
Distribution Based,,ChEMBL__Joinable__assays_vertical_1_ac2_ev,,1.0,1.0,1.0,,,/Users/nahawandkired/Documents/metamatch/outputs/final_all_baselines_scan/all_baseline_results_long.csv,ChEMBL,Joinable
Distribution Based,Distribution,ChEMBL__Joinable__assays_vertical_1_ac3_ev,assays_vertical_1_ac3_ev_source.csv,1.0,1.0,1.0,5.214112758636475,,/Users/nahawandkired/Desktop/si_si-results.csv,ChEMBL,Joinable
Distribution Based,Distribution,ChEMBL__Joinable__assays_vertical_1_ac4_ev,assays_vertical_1_ac4_ev_source.csv,1.0,1.0,1.0,5.208835124969482,,/Users/nahawandkired/Desktop/si_si-results.csv,ChEMBL,Joinable
Distribution Based,Distribution,ChEMBL__Joinable__assays_vertical_1_ac5_ev,assays_vertical_1_ac5_ev_source.csv,1.0,1.0,1.0,5.16473913192749,,/Users/nahawandkired/Desktop/si_si-results.csv,ChEMBL,Joinable
Distribution Based,,ChEMBL__Joinable__assays_vertical_1_ec_ev,,1.0,1.0,1.0,,,/Users/nahawandkired/Documents/metamatch/outputs/final_all_baselines_scan/all_baseline_results_long.csv,ChEMBL,Joinable
Distribution Based,,ChEMBL__Joinable__assays_vertical_30_ac3_ev,,1.0,1.0,1.0,,,/Users/nahawandkired/Documents/metamatch/outputs/final_all_baselines_scan/all_baseline_results_long.csv,ChEMBL,Joinable
